epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.574,3.97937,2.18112,1.20072,0.09274,0.05923,0.04556,0.01406,3.69305,2.04589,1.13208,0.0670581,0.000332746,0.000332746
2,3020.26,3.6926,2.02086,1.1316,0.0765,0.05637,0.04056,0.01231,3.62581,2.02552,1.11898,0.0340449,0.000652891,0.000652891
3,3429.22,3.60045,1.9874,1.12071,0.08154,0.05706,0.03852,0.01171,3.64635,2.03991,1.13408,0.00101852,0.000959836,0.000959836
4,3742.68,3.55612,1.9466,1.10627,0.10568,0.073,0.05492,0.01796,3.41837,1.88818,1.08407,0.0009406,0.0009406,0.0009406
5,4442.71,3.55494,1.95919,1.11213,0.11022,0.07777,0.06028,0.02072,3.36143,1.89005,1.11412,0.0009208,0.0009208,0.0009208
6,6439.08,3.51879,1.93919,1.10415,0.11021,0.07575,0.05354,0.01717,3.38961,1.87659,1.12373,0.000901,0.000901,0.000901
7,9994.32,3.4826,1.92239,1.10321,0.13496,0.07393,0.06249,0.02063,3.30237,1.86745,1.10899,0.0008812,0.0008812,0.0008812
8,10351.9,3.47348,1.896,1.08972,0.1314,0.08277,0.06847,0.02216,3.28216,1.83836,1.08334,0.0008614,0.0008614,0.0008614
9,10517.2,3.4362,1.90496,1.08958,0.12667,0.07662,0.06162,0.01946,3.31956,1.83313,1.11166,0.0008416,0.0008416,0.0008416
10,10681.8,3.40913,1.88445,1.0835,0.14061,0.08235,0.06334,0.02051,3.2403,1.79386,1.08903,0.0008218,0.0008218,0.0008218
11,10857.2,3.37976,1.87917,1.08678,0.12892,0.08008,0.05972,0.01913,3.2625,1.81257,1.09687,0.000802,0.000802,0.000802
12,11036.4,3.3916,1.86225,1.08178,0.12598,0.07488,0.05659,0.01856,3.2754,1.84366,1.09298,0.0007822,0.0007822,0.0007822
13,11221.1,3.37511,1.85754,1.08128,0.14446,0.08321,0.07053,0.02344,3.23306,1.83097,1.07724,0.0007624,0.0007624,0.0007624
14,11449.6,3.36925,1.85547,1.07912,0.14792,0.08434,0.07188,0.0229,3.22304,1.79186,1.0909,0.0007426,0.0007426,0.0007426
15,11617.6,3.34403,1.85487,1.08638,0.15004,0.08588,0.07167,0.02404,3.19309,1.78781,1.08431,0.0007228,0.0007228,0.0007228
16,11824.1,3.34648,1.83181,1.07532,0.13264,0.08219,0.06342,0.02016,3.23492,1.81491,1.08089,0.000703,0.000703,0.000703
