epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
21,873.105,0.08299,0.91002,1,0.32377,0.00056678,0.00056678,0.00056678
22,912.91,0.07698,0.92229,1,0.38876,0.000511769,0.000511769,0.000511769
23,952.644,0.07091,0.91616,1,0.35893,0.000456758,0.000456758,0.000456758
24,993.257,0.06736,0.9182,1,0.35683,0.000401747,0.000401747,0.000401747
25,1033.11,0.0775,0.91002,1,0.37902,0.000346736,0.000346736,0.000346736
26,1072.73,0.05198,0.93252,1,0.39921,0.000291725,0.000291725,0.000291725
27,1113.09,0.05334,0.9182,1,0.39776,0.000236714,0.000236714,0.000236714
28,1153.22,0.04894,0.9182,1,0.38718,0.000181703,0.000181703,0.000181703
29,1193.91,0.06368,0.9182,1,0.38821,0.000126692,0.000126692,0.000126692
30,1233.8,0.05123,0.91616,1,0.37524,7.1681e-05,7.1681e-05,7.1681e-05
